iter	Passed	Remaining
397	3243	4906
398	3253	4899
399	3273	4909
400	3285	4908
401	3290	4895
402	3300	4889
403	3314	4889
404	3330	4892
405	3334	4877
406	3337	4862
407	3343	4851
408	3351	4842
409	3359	4834
410	3362	4818
411	3367	4806
412	3375	4797
413	3385	4791
414	3389	4777
415	3394	4765
416	3403	4757
417	3413	4752
418	3415	4736
419	3421	4725
420	3428	4714
421	3429	4697
422	3436	4687
423	3443	4678
424	3457	4677
425	3465	4669
426	3471	4658
427	3480	4652
428	3488	4642
429	3501	4641
430	3506	4629
431	3511	4616
432	3516	4605
433	3523	4594
434	3530	4585
435	3538	4576
436	3543	4565
437	3548	4553
438	3553	4541
439	3557	4528
440	3562	4515
441	3566	4502
442	3573	4492
443	3578	4481
444	3589	4476
445	3597	4468
446	3602	4456
447	3609	4447
448	3618	4439
449	3621	4426
450	3624	4411
451	3627	4398
452	3631	4385
453	3635	4371
454	3642	4363
455	3650	4354
456	3661	4349
457	3666	4338
458	3675	4331
459	3678	4318
460	3685	4309
461	3694	4302
462	3702	4294
463	3714	4291
464	3721	4281
465	3726	4270
466	3729	4257
467	3738	4249
468	3748	4244
469	3754	4234
470	3759	4222
471	3770	4218
472	3777	4208
473	3782	4197
474	3788	4187
475	3795	4177
476	3803	4170
477	3808	4158
478	3813	4148
479	3820	4138
480	3826	4128
481	3832	4118
482	3836	4106
483	3843	4097
484	3849	4087
485	3851	4073
486	3859	4065
487	3867	4058
488	3877	4052
489	3882	4041
490	3888	4031
491	3897	4024
492	3905	4016
493	3914	4009
494	3917	3996
495	3925	3989
496	3933	3981
497	3938	3969
498	3942	3958
499	3946	3946
500	3951	3936
501	3958	3926
502	3969	3922
503	3976	3913
504	3988	3909
505	3992	3897
506	3999	3888
507	4003	3877
508	4012	3870
509	4015	3857
510	4022	3849
511	4028	3839
512	4037	3832
513	4045	3824
514	4048	3812
515	4053	3802
516	4060	3793
517	4063	3780
518	4067	3769
519	4075	3762
520	4078	3749
521	4082	3738
522	4086	3726
523	4088	3714
524	4092	3702
525	4105	3699
526	4111	3690
527	4123	3685
528	4130	3677
529	4138	3670
530	4141	3658
531	4152	3652
532	4161	3646
533	4168	3637
534	4177	3630
535	4185	3623
536	4195	3617
537	4207	3613
538	4211	3602
539	4218	3593
540	4226	3585
541	4235	3578
542	4245	3572
543	4256	3567
544	4264	3560
545	4266	3547
546	4270	3536
547	4276	3527
548	4290	3524
549	4296	3515
550	4306	3509
551	4311	3499
552	4317	3489
553	4328	3484
554	4342	3482
555	4353	3476
556	4362	3469
557	4369	3461
558	4376	3452
559	4381	3442
560	4386	3432
561	4391	3422
562	4399	3415
563	4405	3405
564	4410	3395
565	4417	3387
566	4425	3379
567	4428	3368
568	4433	3358
569	4441	3350
570	4450	3343
571	4457	3334
572	4464	3326
573	4474	3320
574	4480	3311
575	4486	3302
576	4495	3295
577	4501	3286
578	4509	3278
579	4513	3268
580	4520	3260
581	4527	3251
582	4532	3241
583	4541	3234
584	4547	3226
585	4553	3217
586	4565	3212
587	4570	3202
588	4574	3191
589	4579	3182
590	4581	3170
591	4586	3160
592	4593	3152
593	4595	3141
594	4601	3132
595	4611	3125
596	4617	3117
597	4627	3111
598	4634	3102
599	4640	3093
600	4644	3083
601	4653	3076
602	4655	3065
603	4665	3058
604	4677	3054
605	4689	3048
606	4694	3039
607	4699	3030
608	4703	3019
609	4733	3026
610	4736	3015
611	4741	3005
612	4744	2995
613	4750	2986
614	4755	2976
615	4759	2966
616	4763	2957
617	4768	2947
618	4772	2937
619	4777	2928
620	4782	2918
621	4786	2908
622	4789	2898
623	4795	2889
624	4801	2880
625	4805	2871
626	4808	2860
627	4812	2850
628	4816	2840
629	4820	2830
630	4822	2820
631	4827	2810
632	4832	2801
633	4838	2793
634	4842	2783
635	4846	2773
636	4849	2763
637	4852	2753
638	4856	2743
639	4860	2734
640	4863	2723
641	4868	2714
642	4873	2705
643	4876	2695
644	4879	2685
645	4884	2676
646	4887	2666
647	4891	2657
648	4894	2646
649	4896	2636
650	4900	2627
651	4903	2616
652	4907	2607
653	4912	2598
654	4915	2589
655	4918	2579
656	4925	2571
657	4928	2561
658	4933	2552
659	4935	2542
660	4938	2532
661	4942	2523
662	4944	2513
663	4947	2503
664	4951	2494
665	4953	2484
666	4958	2475
667	4961	2466
668	4965	2456
669	4968	2447
670	4972	2438
671	4976	2428
672	4979	2419
673	4982	2410
674	4986	2400
675	4989	2391
676	4994	2382
677	4998	2373
678	5001	2364
679	5005	2355
680	5010	2347
681	5013	2337
682	5016	2328
683	5019	2319
684	5024	2310
685	5028	2301
686	5031	2292
687	5035	2283
688	5039	2274
689	5042	2265
690	5045	2256
691	5048	2247
692	5052	2238
693	5055	2229
694	5060	2220
695	5063	2211
696	5070	2204
697	5073	2194
698	5077	2186
699	5080	2177
700	5084	2168
701	5087	2159
702	5089	2150
703	5092	2141
704	5095	2132
705	5097	2122
706	5100	2113
707	5103	2104
708	5105	2095
709	5109	2086
710	5111	2077
711	5114	2068
712	5117	2059
713	5119	2050
714	5122	2041
715	5125	2032
716	5127	2023
717	5129	2014
718	5133	2006
719	5135	1997
720	5137	1988
721	5141	1979
722	5144	1970
723	5148	1962
724	5150	1953
725	5153	1944
726	5155	1936
727	5159	1927
728	5161	1918
729	5165	1910
730	5169	1902
731	5171	1893
732	5174	1884
733	5176	1876
734	5180	1867
735	5183	1859
736	5185	1850
737	5188	1842
738	5190	1833
739	5193	1824
740	5196	1816
741	5199	1807
742	5202	1799
743	5206	1791
744	5209	1783
745	5213	1775
746	5215	1766
747	5218	1758
748	5221	1749
749	5224	1741
750	5227	1733
751	5230	1724
752	5233	1716
753	5238	1709
754	5242	1701
755	5246	1693
756	5249	1684
757	5251	1676
758	5256	1668
759	5259	1660
760	5262	1652
761	5264	1644
762	5268	1636
763	5271	1628
764	5275	1620
765	5279	1612
766	5282	1604
767	5286	1596
768	5289	1588
769	5292	1580
770	5295	1572
771	5298	1564
772	5302	1556
773	5304	1548
774	5307	1540
775	5310	1533
776	5313	1525
777	5316	1517
778	5319	1509
779	5322	1501
780	5326	1493
781	5329	1485
782	5332	1477
783	5335	1470
784	5338	1462
785	5342	1454
786	5346	1446
787	5349	1439
788	5352	1431
789	5355	1423
790	5358	1415
791	5363	1408
792	5366	1400
793	5369	1393
794	5372	1385
795	5380	1378
796	5385	1371
797	5391	1364
798	5396	1357
799	5400	1350
800	5403	1342
801	5405	1334
802	5408	1326
803	5411	1319
804	5413	1311
805	5416	1303
806	5419	1296
807	5422	1288
808	5424	1280
809	5427	1273
810	5430	1265
811	5433	1257
812	5436	1250
813	5438	1242
814	5441	1235
815	5443	1227
816	5446	1219
817	5449	1212
818	5451	1204
819	5454	1197
820	5456	1189
821	5459	1182
822	5461	1174
823	5464	1167
824	5467	1159
825	5469	1152
826	5472	1144
827	5474	1137
828	5477	1129
829	5480	1122
830	5483	1115
831	5486	1107
832	5489	1100
833	5492	1093
834	5494	1085
835	5496	1078
836	5499	1070
837	5501	1063
838	5504	1056
839	5506	1048
840	5509	1041
841	5512	1034
842	5514	1027
843	5517	1019
844	5519	1012
845	5522	1005
846	5524	997
847	5526	990
848	5529	983
849	5531	976
850	5534	968
851	5536	961
852	5539	954
853	5541	947
854	5544	940
855	5547	933
856	5550	926
857	5553	919
858	5555	911
859	5558	904
860	5561	897
861	5564	890
862	5566	883
863	5569	876
864	5571	869
865	5573	862
866	5575	855
867	5578	848
868	5580	841
869	5583	834
870	5585	827
871	5587	820
872	5590	813
873	5592	806
874	5594	799
875	5596	792
876	5599	785
877	5601	778
878	5603	771
879	5606	764
880	5608	757
881	5610	750
882	5612	743
883	5615	736
884	5617	729
885	5619	723
886	5621	716
887	5623	709
888	5626	702
889	5628	695
890	5630	688
891	5632	682
892	5635	675
893	5637	668
894	5640	661
895	5642	654
896	5645	648
897	5647	641
898	5649	634
899	5652	628
900	5654	621
901	5656	614
902	5658	607
903	5661	601
904	5663	594
905	5666	587
906	5668	581
907	5670	574
908	5672	567
909	5675	561
910	5677	554
911	5679	548
912	5682	541
913	5684	534
914	5686	528
915	5689	521
916	5691	515
917	5693	508
918	5696	502
919	5698	495
920	5700	488
921	5702	482
922	5705	475
923	5707	469
924	5710	463
925	5713	456
926	5715	450
927	5717	443
928	5720	437
929	5722	430
930	5725	424
931	5728	417
932	5731	411
933	5733	405
934	5737	398
935	5739	392
936	5742	386
937	5744	379
938	5747	373
939	5749	366
940	5752	360
941	5754	354
942	5757	348
943	5760	341
944	5763	335
945	5765	329
946	5767	322
947	5770	316
948	5772	310
949	5774	303
950	5777	297
951	5779	291
952	5781	285
953	5784	278
954	5786	272
955	5788	266
956	5790	260
957	5792	253
958	5794	247
959	5796	241
960	5800	235
961	5802	229
962	5803	222
963	5806	216
964	5808	210
965	5810	204
966	5813	198
967	5816	192
968	5818	186
969	5820	180
970	5822	173
971	5824	167
972	5826	161
973	5828	155
974	5831	149
975	5833	143
976	5835	137
977	5837	131
978	5839	125
979	5841	119
980	5843	113
981	5845	107
982	5847	101
983	5849	95
984	5851	89
985	5853	83
98990	549995	5991	549996	59996	55997989997	5599899994	5475	299995	5477	2992	5877	41
993	5880	35
994	5882	29
995	5884	23
996	5887	17
997	5889	11
998	5892	5
999	5895	0
